,x,y,school_name,number_vce_subjects,satisfactory_complete_vce_percent,median_study_score,study_score_over_40_percent,percentage_applying_to_victorian_uni
258,144.97441,-37.80371,academy of mary immaculate,33.0,99.0,31.0,10.3,94.0
259,145.35775,-37.75076,mount lilydale mercy college,67.0,100.0,29.0,4.0,70.0
260,145.06571,-37.98415,kilbreda college,49.0,100.0,31.0,8.1,66.0
261,145.072,-38.21826,padua college,65.0,99.0,28.0,4.4,57.0
262,144.9848,-37.83169,melbourne girls grammar,41.0,99.0,34.0,19.9,99.0
263,144.34009,-38.15242,the geelong college,45.0,100.0,33.0,13.4,90.0
264,145.40764,-36.37471,notre dame college,58.0,98.0,27.0,2.0,62.0
265,146.00921,-36.00866,sacred heart college,24.0,100.0,27.0,7.186514522821577,81.0
266,141.60595,-38.34523,bayview college,26.0,100.0,28.0,4.8,68.0
267,145.107,-37.84856,presbyterian ladies college,36.0,100.0,35.0,23.0,99.0
268,144.74337,-36.11815,st josephs college,49.0,99.0,29.0,2.9,62.0
269,144.74337,-36.11815,st josephs college,43.0,100.0,32.0,6.4,68.0
270,144.74337,-36.11815,st josephs college,46.0,98.0,29.0,5.9,58.0
271,144.74337,-36.11815,st josephs college,67.0,99.0,30.0,5.2,53.0
272,144.94287,-37.79289,st aloysius college,45.0,100.0,30.0,8.5,84.0
273,147.06378,-38.10871,catholic college sale,36.0,99.0,28.0,6.5,58.0
274,145.04471,-36.30955,st augustines college,34.0,100.0,29.0,3.9,62.0
275,143.13956,-38.235,mercy regional college,35.0,100.0,29.0,2.4,46.0
276,144.91429,-37.7572,st columbas college,60.0,100.0,31.0,7.5,91.0
277,145.05578,-37.80897,genazzano fcj college,42.0,99.0,34.0,18.0,96.0
278,144.99155,-37.85955,st michaels grammar school,45.0,99.0,34.0,17.6,94.0
279,144.99694,-37.90612,firbank grammar school,37.0,98.0,34.0,18.9,98.0
280,145.06759,-37.75793,our lady of mercy college,55.0,100.0,32.0,7.7,93.0
281,143.83083,-37.53924,ballarat grammar,55.0,100.0,32.0,9.4,81.0
282,145.03218,-37.85768,de la salle college,45.0,100.0,31.0,7.5,76.0
283,145.04448,-37.77252,ivanhoe grammar school,36.0,99.0,33.0,13.4,94.0
284,145.04448,-37.77252,ivanhoe grammar school,34.0,100.0,33.0,15.6,90.0
285,145.03229,-37.83392,scotch college,51.0,100.0,34.0,18.4,97.0
286,145.00755,-37.92863,st leonards college,51.0,100.0,35.0,20.7,94.0
287,145.25669,-37.81552,tintern grammar,41.0,100.0,33.0,16.2,92.0
288,145.09346,-38.17226,toorak college,32.0,100.0,34.0,15.6,94.0
289,145.02127,-37.8383,st catherines school,35.0,100.0,36.0,28.9,100.0
290,142.20795,-36.71731,st brigids college,21.0,100.0,27.0,1.6,42.0
291,145.01132,-37.87791,shelford girls grammar,39.0,100.0,34.0,16.1,98.0
292,145.06812,-37.98769,mentone grammar school,55.0,100.0,35.0,21.1,96.0
293,145.04672,-37.76527,ivanhoe girls grammar school,41.0,100.0,34.0,18.6,100.0
294,145.04782,-37.81478,carey baptist grammar school,49.0,100.0,33.0,11.2,97.0
295,145.04122,-37.89952,kilvington grammar school,46.0,100.0,33.0,15.2,97.0
296,145.14643,-37.99598,haileybury college,49.0,100.0,35.0,26.3,95.0
297,145.06346,-37.98938,mentone girls grammar school,39.0,100.0,36.0,29.4,100.0
298,147.06463,-38.09365,gippsland grammar,36.0,97.0,31.0,8.1,80.0
299,145.01489,-37.84819,loreto mandeville hall,42.0,99.0,36.0,29.6,99.0
300,145.06641,-37.81609,camberwell grammar school,37.0,99.0,35.0,21.0,98.0
301,144.99352,-37.91111,brighton grammar school,37.0,100.0,36.0,24.5,95.0
302,145.13629,-37.87674,huntingtower school,37.0,100.0,37.0,33.8,99.0
303,145.12992,-37.81835,our lady of sion college,48.0,100.0,33.0,9.3,91.0
304,144.73903,-37.57264,salesian college sunbury,66.0,100.0,28.0,2.4,66.0
305,145.11863,-37.83278,kingswood college,45.0,100.0,31.0,9.6,85.0
306,145.00248,-37.77036,santa maria college,48.0,100.0,30.0,6.8,96.0
307,145.0247,-37.8354,st kevins college,42.0,100.0,35.0,24.0,96.0
308,145.06821,-37.99116,st bedes college,61.0,100.0,31.0,8.3,71.0
309,144.8832,-37.74939,st bernards college,64.0,100.0,30.0,5.6,77.0
310,145.11777,-37.84722,mount scopus memorial college,39.0,100.0,37.0,31.5,100.0
311,145.08268,-37.77478,marcellin college,48.0,100.0,31.0,9.0,77.0
312,145.31652,-38.05022,heritage college,19.0,92.0,25.0,7.186514522821577,33.0
313,145.0082,-37.8839,adass israel school,9.0,100.0,28.7569573283859,7.186514522821577,67.05434782608695
314,145.0082,-37.8839,adass israel school,2.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
315,142.04945,-37.74204,monivae college,35.0,100.0,27.0,3.4,58.0
316,145.00034,-37.86812,yeshivah college,14.0,100.0,34.0,17.9,77.0
317,145.15202,-37.95907,killester college,50.0,99.0,30.0,6.0,88.0
318,144.33048,-38.13008,clonard college,45.0,98.0,30.0,5.8,70.0
319,145.00084,-37.86928,beth rivkah ladies college,22.0,97.0,35.0,18.9,80.0
320,145.08608,-37.90216,sacred heart girls college,43.0,100.0,32.0,8.2,97.0
321,145.22626,-37.99023,st johns regional college,46.0,100.0,26.0,2.0,79.0
322,147.58766,-37.8371,nagle college,45.0,95.0,28.0,3.0,38.0
323,145.17411,-37.84779,emmaus college,59.0,99.0,30.0,6.1,80.0
324,145.23494,-37.82306,aquinas college,61.0,99.0,31.0,6.4,81.0
325,145.00663,-37.89287,leibler yavneh college,28.0,100.0,36.0,23.1,93.0
